forumnaam,ID,firmwarerelease,gemiddeld verbruik (bin),batterijtype,batterijvermogen,datum invoer,firmwareversie,forumnaam (copy),leverdatum,nieuwe batterij,opmerkingen,rangemode aan/uit,aantal keer leeg,aantal keer SuC,aantal rangecharges,gemiddeld verbruik,kmstand,kmstand berekening,kmstand bij vervanging batterij,kmstand huidige batterij,kmstand huidige batterij,Number of Records,percentage,rated range,typical range
Nulwoning,66,1.65.15,190 Wh/km,D,85 kWh,12/15/14,V6.0,nulwoning,11/23/13,nee,"19"" 3e drive unit",aan,0,50,3,190 Wh/km,45050,45050,0,"45,050 km",45050,1,94.50%,,378 km
Wim S.,69,1.65.15,210 Wh/km,,85 kWh,1/1/15,V6.0,wim s.,11/23/13,nee,"drive unit replaced, 21""",,0,11,9,219 Wh/km,20500,20500,0,"20,500 km",20500,1,94.50%,,378 km
Xfrank,85,2.2.92,210 Wh/km,,60 kWh,1/18/15,V6.1,xfrank,11/23/13,nee,,aan,1,35,8,211 Wh/km,23373,23373,0,"23,373 km",23373,1,97.20%,,282 km
Wim S.,22,1.65.15,210 Wh/km,,85 kWh,9/24/14,V6.0,wim s.,11/25/13,nee,"drive unit replaced, 21""",,0,10,8,219 Wh/km,17800,17800,0,"17,800 km",17800,1,96.50%,,386 km
in-clusion,92,,220 Wh/km,,85 kWh,1/22/15,V6.1,in-clusion,11/25/13,nee,21 inch P85+,uit,0,25,20,228 Wh/km,36000,36000,0,"36,000 km",36000,1,94.80%,,379 km
S-19910,6,1.65.13,210 Wh/km,D,85 kWh,9/18/14,V6.0,s-19910,11/26/13,nee,"19""",,1,25,15,218 Wh/km,47352,47352,0,"47,352 km",47352,1,94.30%,472,377 km
jja,36,1.65.15,190 Wh/km,,85 kWh,9/28/14,V6.0,jja,11/26/13,nee,,,0,6,4,196 Wh/km,20200,20200,0,"20,200 km",20200,1,96.00%,480,384 km
JoeNe,47,1.65.15,220 Wh/km,,85 kWh,10/9/14,V6.0,joene,11/26/13,nee,"19""",,3,5,10,229 Wh/km,33150,33150,0,"33,150 km",33150,1,94.30%,472,377 km
JoeNe,98,2.2.112,230 Wh/km,,85 kWh,1/31/15,V6.1,joene,11/26/13,nee,"19""",uit,5,8,14,231 Wh/km,45845,45845,0,"45,845 km",45845,1,97.80%,489,391 km
HWS,18,1.65.15,240 Wh/km,,85 kWh,9/24/14,V6.0,hws,11/29/13,ja,"nwe motor, 21""",,0,12,10,248 Wh/km,18200,16100,2100,"16,100 km",16100,1,95.30%,,381 km
gelden,44,1.65.15,260 Wh/km,D,85 kWh,10/6/14,V6.0,gelden,11/29/13,ja,suc/rch ingevuld sinds de nieuwe batterij,,1,3,1,263 Wh/km,29700,3700,26000,"3,700 km",3700,1,96.80%,,387 km
HWS,75,2.0.77,240 Wh/km,,85 kWh,1/15/15,V6.0,hws,11/29/13,ja,90%=343,uit,0,20,20,249 Wh/km,27876,25776,2100,"25,776 km",25776,1,95.30%,476,381 km
HWS,81,2.2.105,240 Wh/km,,85 kWh,1/16/15,V6.1,hws,11/29/13,ja,90%=342,uit,0,20,22,249 Wh/km,27906,25806,2100,"25,806 km",25806,1,95.30%,476,381 km
Hans (Amsterdam),29,1.65.15,200 Wh/km,,85 kWh,9/26/14,V6.0,hans (amsterdam),12/4/13,nee,,,5,14,10,207 Wh/km,24000,24000,0,"24,000 km",24000,1,95.50%,,382 km
Geert.Snijders,43,1.65.15,230 Wh/km,,85 kWh,10/6/14,V6.0,geert.snijders,12/4/13,nee,Bijna altijd superchargen. Soms beetje gewoon bijladen.,,,45,15,230 Wh/km,21500,21500,0,"21,500 km",21500,1,95.00%,,380 km
Gepekop,48,1.65.15,230 Wh/km,D,85 kWh,10/14/14,V6.0,gepekop,12/4/13,nee,"drive unit 2x vervangen W:19"" Z:21""",,3,14,16,234 Wh/km,34000,34000,0,"34,000 km",34000,1,95.30%,478,381 km
ReNe,59,1.67.43,210 Wh/km,,85 kWh,11/24/14,V6.0,rene,12/4/13,nee,21 inch,aan,3,35,20,218 Wh/km,32000,32000,0,"32,000 km",32000,1,95.80%,,383 km
Willem,39,1.65.15,190 Wh/km,,85 kWh,10/4/14,V6.0,willem,12/6/13,nee,,,2,10,2,193 Wh/km,25050,25050,0,"25,050 km",25050,1,97.80%,,391 km
Jean,96,2.2.92,210 Wh/km,,85 kWh,1/27/15,V6.1,jean,12/7/13,nee,,uit,0,15,25,212 Wh/km,65065,65065,0,"65,065 km",65065,1,93.30%,,373 km
Energie Gratiz,17,,,,85 kWh,9/24/14,,energie gratiz,12/10/13,nee,,,2,50,,,73353,73353,0,"73,353 km",73353,1,95.00%,476,380 km
Zuid5.nl,40,1.65.15,200 Wh/km,,85 kWh,10/4/14,V6.0,zuid5.nl,12/10/13,nee,"19""",,3,18,10,203 Wh/km,23945,23945,0,"23,945 km",23945,1,96.80%,489,387 km
Zuid5.nl,90,2.2.92,200 Wh/km,,85 kWh,1/21/15,V6.1,zuid5.nl,12/10/13,nee,"19""",aan,,30,14,209 Wh/km,33000,33000,0,"33,000 km",33000,1,96.00%,,384 km
MjjVonk,20,1.59.56,200 Wh/km,,85 kWh,9/24/14,V5.11,mjjvonk,12/11/13,nee,,,1,25,10,202 Wh/km,33598,33598,0,"33,598 km",33598,1,96.00%,480,384 km
PaulW5,15,1.65.15,240 Wh/km,,85 kWh,9/23/14,V6.0,paulw5,12/12/13,,,,0,10,15,249 Wh/km,22850,22850,0,"22,850 km",22850,1,96.30%,,385 km
Keezje,94,2.2.92,230 Wh/km,,85 kWh,1/25/15,V6.1,keezje,12/23/13,nee,"eerste 15.000 op 21""; daarna op 19""; 2x drive unit vervangen",uit,10,30,10,230 Wh/km,33000,33000,0,"33,000 km",33000,1,93.80%,,375 km
Rprp,11,1.64.39,220 Wh/km,D,85 kWh,9/21/14,V5.12,rprp,12/31/13,nee,"21""",,1,35,35,227 Wh/km,46000,46000,0,"46,000 km",46000,1,95.30%,476,381 km
kwenix,45,1.65.15,210 Wh/km,,85 kWh,10/8/14,V6.0,kwenix,12/31/13,nee,"19""",,0,3,20,214 Wh/km,21845,21845,0,"21,845 km",21845,1,98.50%,,394 km
Rprp,78,1.65.15,220 Wh/km,D,85 kWh,1/15/15,V6.0,rprp,12/31/13,nee,21 inch,uit,15,45,50,223 Wh/km,61500,61500,0,"61,500 km",61500,1,93.30%,466,373 km
pvh,8,1.64.26,240 Wh/km,,85 kWh,9/19/14,V5.12,pvh,3/13/14,nee,"drive unit replaced 8500km, 21"" P+",,2,15,12,245 Wh/km,14977,14977,0,"14,977 km",14977,1,98.80%,,395 km
KrisB,19,1.65.15,160 Wh/km,,85 kWh,9/24/14,V6.0,krisb,3/26/14,nee,"19""",aan,0,2,1,163 Wh/km,19800,19800,0,"19,800 km",19800,1,96.30%,482,385 km
KrisB,64,1.67.125,160 Wh/km,,85 kWh,12/5/14,V6.0,krisb,3/26/14,nee,"19""",aan,0,10,3,167 Wh/km,24325,24325,0,"24,325 km",24325,1,96.80%,484,387 km
Danielk,28,1.65.15,200 Wh/km,,85 kWh,9/26/14,V6.0,danielk,3/28/14,nee,"19""",,0,3,10,206 Wh/km,20509,20509,0,"20,509 km",20509,1,97.00%,485,388 km
Hans Noordsij,2,1.65.13,,D,85 kWh,9/18/14,V6.0,hans noordsij,3/29/14,nee,,aan,,50,15,,32000,32000,0,"32,000 km",40000,1,98.00%,,392 km
Hans Noordsij,86,1.67.125,,D,85 kWh,1/19/15,V6.0,hans noordsij,3/29/14,nee,,aan,,50,,,40670,40670,0,"40,670 km",40670,1,96.30%,,385 km
Alain13,55,1.67.43,220 Wh/km,D,85 kWh,11/13/14,V6.0,alain13,4/11/14,nee,,aan,0,5,5,224 Wh/km,12000,12000,0,"12,000 km",12000,1,97.00%,,388 km
TTheo,35,1.65.15,200 Wh/km,,60 kWh,9/27/14,V6.0,ttheo,5/7/14,nee,,,0,0,5,205 Wh/km,9161,9161,0,"9,161 km",9161,1,96.60%,356,280 km
TTheo,82,1.67.43,210 Wh/km,,60 kWh,1/16/15,V6.0,ttheo,5/7/14,nee,"19"" all season",uit,1,0,8,216 Wh/km,14267,14267,0,"14,267 km",14267,1,93.80%,347,272 km
Bram,61,1.65.15,200 Wh/km,,85 kWh,11/26/14,V6.0,bram,5/25/14,nee,"19""",,0,20,2,205 Wh/km,14000,14000,0,"14,000 km",14000,1,97.80%,,391 km
BasvdPoel,16,1.65.15,210 Wh/km,,85 kWh,9/24/14,V6.0,basvdpoel,5/28/14,nee,,,1,1,3,216 Wh/km,6053,6053,0,"6,053 km",6053,1,98.00%,,392 km
