lat,long,provincia
10.048253,-84.380478,ALAJUELA
10.060727,-84.4378495,ALAJUELA
10.060727,-84.4378495,ALAJUELA
10.060727,-84.4378495,ALAJUELA
10.060727,-84.4378495,ALAJUELA
10.0311465,-84.4198927,ALAJUELA
10.060727,-84.4378495,ALAJUELA
10.0517886,-84.4476419,ALAJUELA
10.0783392,-84.2463188,ALAJUELA
10.1192808,-84.2364413,ALAJUELA
10.0917258,-84.2548779,ALAJUELA
10.0341266,-84.2673851,ALAJUELA
10.1168097,-84.2147052,ALAJUELA
9.9187656,-84.5274616,ALAJUELA
9.9120855,-84.544497,ALAJUELA
9.9202822,-84.4931161,ALAJUELA
9.8941912,-84.5562878,ALAJUELA
9.9018832,-84.6021182,ALAJUELA
10.3270781,-84.4356706,ALAJUELA
10.3620025,-84.4754678,ALAJUELA
10.2752245,-84.4607091,ALAJUELA
10.375813,-84.3357992,ALAJUELA
10.357123,-84.276558,ALAJUELA
10.4531184,-84.2779155,ALAJUELA
10.4678335,-84.6426806,ALAJUELA
10.342772,-84.581879,ALAJUELA
10.422588,-84.38546,ALAJUELA
10.55606,-84.754272,ALAJUELA
10.5585681,-84.4805885,ALAJUELA
10.5371919,-84.659401,ALAJUELA
10.3777384,-84.61128,ALAJUELA
10.1864136,-84.3918974,ALAJUELA
10.211368,-84.402077,ALAJUELA
10.222073,-84.4060669,ALAJUELA
10.1822452,-84.4100442,ALAJUELA
10.2117609,-84.380936,ALAJUELA
10.229087,-84.426109,ALAJUELA
10.2347095,-84.4172666,ALAJUELA
10.0898383,-84.3476321,ALAJUELA
10.0841288,-84.3397438,ALAJUELA
10.253538,-84.272017,ALAJUELA
10.0783392,-84.2463188,ALAJUELA
10.0826832,-84.3365961,ALAJUELA
10.8979462,-85.0155499,ALAJUELA
10.8128589,-85.2363531,ALAJUELA
10.8979462,-85.0155499,ALAJUELA
10.8979462,-85.0155499,ALAJUELA
10.8979462,-85.0155499,ALAJUELA
10.9300847,-85.340719,ALAJUELA
10.8979462,-85.0155499,ALAJUELA
10.8358469,-85.0473773,ALAJUELA
11.0336891,-84.7132696,ALAJUELA
10.89241,-84.79567,ALAJUELA
